Proportion: 70%
Accuracy for K=7: 0.6926
Correct predictions for K=7: 160
Incorrect predictions for K=7: 71

Accuracy for K=9: 0.7013
Correct predictions for K=9: 162
Incorrect predictions for K=9: 69

 y_test  y_pred_7  y_pred_9
      0         0         1
      0         0         0
      0         0         0
      0         0         0
      0         1         1
      0         1         1
      0         0         0
      0         0         0
      0         1         1
      0         1         1
      1         0         1
      0         1         1
      1         0         0
      0         0         0
      0         0         0
      1         1         1
      0         0         0
      0         0         0
      1         1         1
      1         0         0
      0         1         1
      0         0         0
      0         1         1
      0         0         0
      0         1         1
      1         1         1
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      1         1         1
      1         1         1
      1         1         1
      1         1         1
      0         0         0
      1         0         1
      1         1         1
      1         0         0
      0         0         0
      1         1         1
      0         0         0
      0         1         1
      0         0         0
      1         1         1
      0         0         0
      1         1         1
      1         0         1
      0         0         0
      0         0         1
      0         1         1
      0         0         0
      1         1         1
      1         1         0
      1         0         0
      0         0         0
      0         0         0
      0         1         1
      0         0         0
      0         0         0
      1         1         1
      1         1         1
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      0         1         0
      0         0         0
      1         1         0
      0         0         0
      1         1         1
      0         0         0
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      0         1         1
      0         1         0
      0         0         0
      0         0         0
      0         0         0
      1         1         1
      1         0         0
      0         0         0
      0         0         0
      0         0         0
      1         1         1
      1         1         1
      1         0         0
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      1         1         0
      0         1         1
      0         0         0
      0         1         1
      0         0         0
      1         1         1
      0         0         0
      0         0         0
      0         0         0
      1         0         0
      0         0         1
      1         1         1
      0         0         0
      0         1         0
      1         1         1
      1         0         0
      1         1         1
      0         0         0
      0         1         1
      0         0         0
      1         1         1
      0         1         0
      0         0         0
      1         1         1
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      0         0         1
      0         1         1
      1         0         0
      1         0         1
      1         1         1
      0         1         1
      1         1         1
      1         0         0
      0         0         0
      1         1         1
      1         1         1
      0         1         1
      1         0         0
      1         1         1
      1         1         1
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      0         1         1
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      0         1         1
      1         1         1
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      0         1         1
      1         0         0
      0         0         0
      1         1         1
      1         1         1
      0         0         0
      0         0         0
      0         0         0
      1         1         1
      0         0         0
      0         1         1
      0         1         1
      1         0         0
      0         1         1
      1         0         0
      1         0         0
      0         1         1
      0         1         1
      0         0         0
      0         0         0
      0         0         0
      1         1         1
      1         0         0
      0         1         1
      0         0         0
      0         1         1
      1         0         0
      1         1         1
      0         0         0
      0         0         0
      0         0         0
      1         1         1
      0         1         1
      1         0         0
      0         0         0
      1         1         1
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      1         0         0
      1         1         1
      0         0         0
      0         0         0
      1         0         0
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      1         1         1
      1         0         0
      0         0         0
      0         1         0
      0         0         0
      0         0         0
      1         1         1
      0         0         0
      0         1         1
      1         1         1
      0         0         0
      0         1         1
      1         1         1
      0         0         0
      0         0         0
      0         0         0
      0         0         0
      0         1         1
      1         0         0
      1         0         0
      0         0         0
      0         0         0
      0         0         0
