Proportion: 80%
Accuracy for K=7: 0.6883
Accuracy for K=9: 0.7208

     y_test  y_pred_7  y_pred_9
668       0         0         0
324       0         0         0
624       0         0         0
690       0         0         0
473       0         1         0
204       0         1         1
97        0         0         0
336       0         1         1
568       0         1         1
148       0         1         1
667       1         0         1
212       0         1         1
199       1         0         0
265       0         0         0
760       0         0         0
356       1         1         1
501       0         0         0
457       0         0         0
604       1         1         1
213       1         0         0
636       0         1         1
544       0         0         0
86        0         1         1
208       0         0         0
281       0         1         1
209       1         1         1
581       0         0         0
639       0         0         0
328       1         0         0
431       0         0         0
120       1         1         1
363       1         1         1
425       1         1         1
300       1         1         1
67        0         0         0
338       1         0         1
579       1         1         1
66        1         0         0
582       0         0         0
78        1         1         1
482       0         0         0
456       0         1         1
30        0         1         1
635       1         1         1
33        0         0         0
31        1         0         1
39        1         0         0
77        0         0         0
299       0         0         1
487       0         1         1
629       0         0         0
516       1         1         1
375       1         1         1
451       1         0         0
511       0         0         0
234       0         0         0
361       0         1         1
494       0         0         0
692       0         0         0
404       1         1         1
754       1         1         1
764       0         0         0
519       0         0         1
254       1         0         0
483       0         0         0
211       0         1         1
210       0         0         0
84        1         1         1
239       0         0         0
409       1         1         1
54        0         1         1
720       0         0         0
512       0         0         0
109       1         0         0
587       0         0         0
362       0         1         1
734       0         1         0
396       0         0         0
528       0         0         0
10        0         0         0
192       1         1         1
448       1         0         0
174       0         0         0
428       0         0         0
181       0         0         0
748       1         1         1
155       1         1         1
309       1         0         0
65        0         0         0
331       0         0         0
137       0         0         0
350       0         0         0
81        0         0         0
468       1         1         1
405       0         1         1
470       0         0         0
250       0         1         1
490       0         0         0
220       1         1         1
76        0         0         0
548       0         0         1
290       0         0         0
72        1         0         0
244       0         1         0
394       1         1         1
620       0         0         0
63        0         1         0
716       1         1         1
659       1         0         0
314       1         1         1
118       0         0         0
728       0         1         1
49        0         0         0
662       1         1         1
411       0         1         1
605       0         0         0
227       1         1         1
168       0         0         0
513       0         0         0
7         0         0         0
196       0         0         0
275       0         0         0
23        1         0         0
383       0         0         0
101       0         0         0
763       0         1         1
706       1         0         0
259       1         1         1
193       1         1         1
549       0         1         1
2         1         1         1
215       1         0         0
382       0         0         0
648       1         1         1
606       1         1         1
714       0         0         0
731       1         0         0
691       1         1         1
603       1         1         1
617       0         0         0
79        0         0         0
694       0         0         0
433       0         0         0
486       0         1         1
677       0         0         0
133       0         0         0
218       1         0         0
55        0         0         0
725       0         1         0
355       1         1         1
534       0         0         0
344       0         0         0
296       1         0         0
462       0         0         0
